codigo;descripcion;ref
7370632;CIG0632;CONJUNTO CARTER X 2 MEDIAS
7370633;CIG0633;PA•ALERA GANEN BABY
7370634;CIG0634;CASCO BEBE 
7370635;CIG0635;CONJUNTO MARQUEZITO 2174
7370636;CIG0636;CONJUNTO MARQUEZITO 2159
7370637;CIG0637;CONJUNTO MARQUEZITO 1071
7370638;CIG0638;CONJUNTO MARQUEZITO 097
7370639;CIG0639;CONJUNTO MARQUEZITO 1046
7370640;CIG0640;CONJUNTO MARQUEZITO 1061
7370641;CIG0641;CONJUNTO MARQUEZITO 1132
7370642;CIG0642;CONJUNTO MARQUEZITO 1053
7370643;CIG0643;CONJUNTO MARQUEZITO 1134
7370644;CIG0644;CONJUNTO MARQUEZITO 2200
7370645;CIG0645;CONJUNTO MARQUEZITO 2195
7370646;CIG0646;CONJUNTO MARQUEZITO 2097
7370647;CIG0647;CONJUNTO BABY WORD
7370648;CIG0648;TERMOMETRO DIGITAL CABEZA 
7370649;CIG0649;BIENVENIDO CAJA FENICITOS
7370650;CIG0650;VAJILLA BAMBOO XIYIBABY KID SET
7370651;CIG0651;BABITAS X 10 SLQC SQ106
7370652;CIG0652;BACINILLA LBN 
7370653;CIG0653;CAMINADOR BABY LAND W 
7370654;CIG0654;CARGADOR AIEBAO A 6612
7370655;CIG0655;CARGADOR CHICO 110-5
7370656;CIG0656;CARGADOR CHICO 110-8
7370657;CIG0657;CHILLON X 6 YELLOW DUCK 
7370658;CIG0658;CHILLON X 10 HW AMP8
7370659;CIG0659;COMEDOR BOGGY
7370660;CIG0660;COMEDOR BOGGY
7370661;CIG0661;SET CUCHARAS MAGIC BIP 
7370662;CIG0662;CUCHARA SILICONA GCB
7370663;CIG0663;ESCOBILLON WAKIDS 75712
7370664;CIG0664;LLAMADIENTE BABY RATLE
7370665;CIG0665;LLAMADIENTE AOBAOLI B30
7370666;CIG0666;LLAMADIENTE INFANTEC GB730
7370667;CIG0667;MEDIA CARTER X3 RB
7370668;CIG0668;MEDIA X 3 BEBISIMO 18-24
7370669;CIG0669;MOVIL MUSICAL RATLES 
7370670;CIG0670;MOVIL CUNA WAKIDS 
7370671;CIG0671;PASEADOR REAMONN S
7370672;CIG0672;PA•ALERA CHICCO 868
7370673;CIG0673;PA•ALERA CHICCO MB 220
7370674;CIG0674;PELUCHE SONAJERO SOZZY SY11
7370675;CIG0675;VAJILLA SUCTION BOWL
7370676;CIG0676;MEDIA X 3 BEBISIMO JM31A
7370677;CIG0677;MEDIA X 3 BEBISIMO JM31B
7370678;CIG0678;RODILLERA BABY 71012
7370679;CIG0679;MEDIA ZAPATO MANILLA RB241
7370680;CIG0680;PA•ALERA CERTAR 2023
7370681;CIG0681;PA•ALERO ANELLO 2009
7370682;CIG0682;SONAJERO X 4 BABY STAR 180-1
7370683;CIG0683;SONAJERO BOOGY 20041
7370684;CIG0684;REDUCTOR BA•O SUPERMAN BB3
7370685;CIG0685;ENTRETENEDOR AVENT SCF170-22
7370686;CIG0686;PORTALECHE WAKIDS 75900
7370687;CIG0687;PORTALECHE INFANTEC GBS414
7370688;CIG0688;LLAMADIENTE INFATEC BIP1235
7370689;CIG0689;MOVIL PASTA SWEET CUDDLES D139
7370690;CIG0690;MOVIL CUNA BOOGY
7370691;CIG0691;CARGADOR CHICCO CH110-2
7370692;CIG0692;ESCOBILLON BOOGY 20036
7370693;CIG0693;ESCOBILLON MOONBABY XD8220
7370694;CIG0694;VASO JUGO INFANTEC BM1876
7370695;CIG0695;VASO BOOGY 19640
7370696;CIG0696;TETERO CUCHARA SILICONA BOOGY 20760
7370697;CIG0697;TETERO MINITREE ZR125
7370698;CIG0698;VAJILLA BABY COLOR BIP2046
7370699;CIG0699;CEPILLO BOOGY 19657
7370700;CIG0700;CEPILLO BOOGY 19225
7370701;CIG0701;CORTAU•AS NOOR NRM 215152
7370702;CIG0702;CAMINADOR JUMPY AJ1357
7370703;CIG0703;TOALLA CARTER ANIMALES AB4104
7370704;CIG0704;SONAJERO X 2 BABY TOYS 8002
7370705;CIG0705;BABERO CARIM 0105
7370706;CIG0706;COLCHONETA ANTIREFLUJO ABBA1056
7370707;CIG0707;TAPETE FOMY ROINSA 
7370708;CIG0708;PISCINA INTEX 57141
7370709;CIG0709;PISCINA INTEX 57440
7370710;CIG0710;PISCINA INTEX 57124
7370711;CIG0711;PISCINA INTEX 58449
7370712;CIG0712;PISCINA INTEX 57482
7370713;CIG0713;PISCINA INTEX 57100 NP
7370714;CIG0714;PISCINA INTEX 58439
7370715;CIG0715;PISCINA INTEX 57106
7370716;CIG0716;PISCINA INTEX 58415
7370717;CIG0717;PISCINA INTEX 57104
7370718;CIG0718;PISCINA INTEX 57156
7370719;CIG0719;FLOTADOR INTEX 57520
7370720;CIG0720;PISCINA INTEX 57111
7370721;CIG0721;FLOTADOR THE WET SET 56579
7370722;CIG0722;FLOTADOR INTEX 56590
7370723;CIG0723;FLOTADOR INTEX 56591
7370724;CIG0724;PISCINA INTEX CARS 57101
7370725;CIG0725;PORFIADO INTEX 44669
7370726;CIG0726;FLOTADOR INTEX 58652
7370727;CIG0727;PISCINA INTEX 58480
7370728;CIG0728;FLOTADOR INTEX 58221
7370729;CIG0729;PISCINA INTEX 57126
7370730;CIG0730;FLOTADOR INTEX 59586
7370731;CIG0731;FLOTADOR INTEX 59574
7370732;CIG0732;PISCINA INTEX 59431
7370733;CIG0733;FLOTADOR INTEX 59380
7370734;CIG0734;PISCINA INTEX 56452
7370735;CIG0735;PISCINA INTEX 56451
7370736;CIG0736;PISCINA INTEX 58472
7370737;CIG0737;PISCINA INTEX 57470
7370738;CIG0738;FLOTADOR BESTWAY 36163
7370739;CIG0739;PISCINA BESTWAY 52331
7370740;CIG0740;PISCINA BESTWAY 52270
7370741;CIG0741;PISCINA BESTWAY 52218
7370742;CIG0742;FLOTADOR BESTWAY 36159
7370743;CIG0743;FLOTADOR BESTWAY 34106
7370744;CIG0744;PISCINA BESTWAY 52145
7370745;CIG0745;PISCINA BESTWAY 52219
7370746;CIG0746;PISCINA BESTWAY 52137
7370747;CIG0747;PISCINA BESTWAY 53041
7370748;CIG0748;PISCINA BESTWAY 52192
7370749;CIG0749;FLOTADOR BESTWAY 36111
7370750;CIG0750;FLOTADOR BESTWAY 36141
7370751;CIG0751;FLOTADOR BESTWAY 36153
7370752;CIG0752;FLOTADOR BESTWAY 32027
7370753;CIG0753;TAPETE DIDACTICO FOMMY X 10FZ
7370754;CIG0754;CHUPO MR BABY NATURAL 2+ 08108A-8
7370755;CIG0755;CHUPO MR BABY NATURAL 3+ 08108A-9
7370756;CIG0756;TETERO MR BABY NATURAL 4 ONZ 08-98
7370757;CIG0757;TETERO MR BABY NATURAL 8 ONZ 08-97
7370758;CIG0758;TETERO MR BABY NATURAL 11 ONZ 08-95
7370759;CIG0759;ASAS MR BABY 0128
7370760;CIG0760;VASO BOOGY 19637
7370761;CIG0761;TETERO BOOGY 18966
7370762;CIG0762;VASO BOOGY 20662
7370763;CIG0763;VASO BOOGY 19972
7370764;CIG0764;TETERO BOOGY 19206
7370765;CIG0765;TETERO BOOGY 19208
7370766;CIG0766;TETERO BOOGY 20753
7370767;CIG0767;TETERO BOOGY 20048
7370768;CIG0768;VAJILLA BOOGY 19215
7370769;CIG0769;VAJILLA BABIES RUS 5F62FB4
7370770;CIG0770;VAJILLA BABY COLOR BIP 2046
7370771;CIG0771;CAMINADOR ECONOMICO ECO 2009 GUIADOR
7370772;CIG0772;COMEDOR BEBESITOS ZZQ 71
7370773;CIG0773;COMEDOR BEBESITOS ZZQ 74
7370774;CIG0774;COMEDOR BEBESITOS ZZQ 72
7370775;CIG0775;PLASTICO COCHE
7370776;CIG0776;LLAMADIENTE BOOGY 20894
7370777;CIG0777;CUCHARA SILICONA X 2 DR GYM DG 28
7370778;CIG0778;BA•ERA PORTATIL BOOGY 20807
7370779;CIG0779;PA•ALERA CHICCO 1804
7370780;CIG0780;REDUCTOR BA•O BOOGY AGARRADERA
7370781;CIG0781;BABERO DELANTAL AD21
7370782;CIG0782;CHUPO MR BABY 8108A
7370783;CIG0783;VASO NOOR NRM12203
7370784;CIG0784;VASO INFANTEC BIP1301
7370785;CIG0785;VASO INFANTEC BIP1086
7370786;CIG0786;VASO NOOR NRM 075
7370787;CIG0787;TETERO INFAN BIP 1420
7370788;CIG0788;VASO BEBESITOS BSS15
7370789;CIG0789;TETERO LLAMADIENTE BOOGY 19908
7370790;CIG0790;TETERO NOOR NR19020
7370791;CIG0791;TETERO NOOR NRM 13202
7370792;CIG0792;TETERO NOOR NRM 777
7370793;CIG0793;EXTRACTOR BOOGY 15993
7370794;CIG0794;BOLSA LECHE MATERNA INFANTEC 1335
7370795;CIG0795;VAJILLA MAGIC FORETS BIP1304
7370796;CIG0796;RECOLECTORA BOOGY 20765
7370797;CIG0797;SET ASEO NOOR ABHM 1003
7370798;CIG0798;ASPIRADOR NASAL BOOGY 20669
7370799;CIG0799;PORTALECHE NOOR 1430
7370800;CIG0800;CEPILLO WAKIDS 75713
7370801;CIG0801;CEPILLO DEDOS BEBESITOS BKG555
7370802;CIG0802;CUCHARA DR GYM DG 59
7370803;CIG0803;MALLA FRUTA NOOR NRT21
7370804;CIG0804;LLAMADIENTE A76 OREO 
7370805;CIG0805;MALLA FRUTA BIP2048
7370806;CIG0806;SET LLAMADIENTE INFANTEC 1238
7370807;CIG0807;LLAMADIENTE INFANTEC GB1447
7370808;CIG0808;LLAMADIENTE NOOR  MNC77
7370809;CIG0809;ENTRETENEDOR CADENA NOOR  1436
7370810;CIG0810;ENTRETENEDOR CADEAN NOOR SNJB2503
7370811;CIG0811;SUJETADOR CHUPO BIP 1085
7370812;CIG0812;PA•ALERA CHICO
7370813;CIG0813;REDUCTOR BA•O BB 5
7370814;CIG0814;REDUCTOR BA•O BB 4
7370815;CIG0815;PELUCHE SONAJERO 635-3
7370816;CIG0816;BABUCHAS BABY COLOR IMP 727
7370817;CIG0817;MOVIL MUSCAL HAPPY D066
7370818;CIG0818;GIMNASIO PELOTAS FITCH BABY 
7370819;CIG0819;COMEDOR 2 EN 1 WAKIDS 76239
7370820;CIG0820;COCHE WAKIDS 76238
7370821;CIG0821;CAMINADOR JUMPY AJ1357
7370822;CIG0822;COMEDOR JUMPY KH319
7370823;CIG0823;TRICICLO JUMPY SB6000 AZUL
7370824;CIG0824;TRICICLO LUJO HAOLAIFU 5199
7370825;CIG0825;PRIMER DIA 5 PCZ CARTERLIEBE
7370826;CIG0826;BACINILLA POTTY BABY 6810
7370827;CIG0827;BACINILLA POTTY BABY 6813
7370828;CIG0828;PA•ALERA GANEN 2015
7370829;CIG0829;CARGADOR CHICCO AVENA CH110-6
7370830;CIG0830;TOALLA CARTER ANIMALES AB4108
7370831;CIG0831;BABITA LEBELE YMY603
7370832;CIG0832;BABITAS SNUGLY AC3601
7370833;CIG0833;MANIJA SKK2
7370834;CIG0834;PELUCHE SONAJERO SKK54
7370835;CIG0835;PELUCHE SONAJERO LEBELE YMY602
7370836;CIG0836;MANIJA LEBELE 608
7370837;CIG0837;MEDIA ZAPATO NOOR  NRA 12407
7370838;CIG0838;RODILLERA  X 0084
7370839;CIG0839;JABONERA ESPONJA BOOGY 20888
7370840;CIG0840;TOALLA HAPPY TOYS 
7370841;CIG0841;TOALLA HAPPY TOYS ECONMICA 
7370842;CIG0842;PELUCHE SONAJERO LELEBE YMY 620
7370843;CIG0843;BABITA PELUCHE STC 17215
7370844;CIG0844;BABITA PELUCHE BABYGIFT SY 17059 - 7
7370845;CIG0845;BABITA PELUCHE BABYGIFT SY 100 - 2
7370846;CIG0846;BABITA PELUCHE BABYGIFT SY 17083 - 2
7370847;CIG0847;BA•ERA PEQUE•A PRAKTIPLAS
7370848;CIG0848;SONAJERO BOOGY 19232
7370849;CIG0849;SONAJERO BOOGY 19227
7370850;CIG0850;SONAJERO BOOGY 19233
7370851;CIG0851;ALMOHADA JMA 1908 - 13
7370852;CIG0852;ALMOHADA JMA 1908 - 14
7370853;CIG0853;BABERO BOOGY 20826
7370854;CIG0854;BABERO BOOGY 20825
7370855;CIG0855;BABITAS CRIBMATES X 12 AC 03-602
7370856;CIG0856;BABITA INFACTEC BIP 8017
7370857;CIG0857;ESCOBILLON INFAN TEC BIP 1445
7370858;CIG0858;VASO INFAN TEC BIP 1433
7370859;CIG0859;TETERO ONLY QW - 1
7370860;CIG0860;VASO INFAN TEC BIP 1348
7370861;CIG0861;TETERO INFAN TEC BIP 1125
7370862;CIG0862;CHUPO TIPO AVENT 4 + REF 0100 - 4
7370863;CIG0863;VAJILLA CIHOCO ON - 3
7370864;CIG0864;VAJILLA INFANTEC BIP 1091 FEBRERO 2015
7370865;CIG0865;SET ASEO BOOGY 20744
7370866;CIG0866;DISPENSADOR MEDICINA CHICCO C 18
7370867;CIG0867;TERMOMETRO DIGITAL THERMOMETER
7370868;CIG0868;MALLA FRUTA INFANTEC BIP 1404
7370869;CIG0869;CUCHARA DR GYM JMA 1908 - 26
7370870;CIG0870;CUCHARAS INFAN TEC BIP 1447
7370871;CIG0871;CEPILLO DIENTES BOOGY 19221
7370872;CIG0872;CEPILLO INFAN TEC BM 2881
7370873;CIG0873;CEPILLO DEDO INFANTEC GB 1380
7370874;CIG0874;PORTALECHE INFANTEC BIP 1043
7370875;CIG0875;PORTALECHE BOOGY 15995
7370876;CIG0876;ENTRETENEDOR MAGEMIOR LOT - 4
7370877;CIG0877;ENTRETENEDOR MAGEMIOR LOT - 9
7370878;CIG0878;ENTRETENEDOR MAGEMIOR LOT - 8
7370879;CIG0879;CINTA JUNGLE BIP 1178
7370880;CIG0880;ENTRETENEDOR SILICONA INFANTEC GB 0760
7370881;CIG0881;BACIN LOCO PRAKTIPLAS
7370882;CIG0882;ANDADERA PIANO BOOGY 20038
7370883;CIG0883;ANDADERA DIDACTICO BOOGY 20491
7370884;CIG0884;ENTRETENEDOR X 2 AVENT 151 - 02
7370885;CIG0885;ENTRETENEDOR X 2 AVENT 172 - 71
7370886;CIG0886;ENTRETENEDOR X 2 AVENT 180 - 24
7370887;CIG0887;TETERO AVENT NATURAL 9 ONZ LILA 693 -14
7370888;CIG0888;MOVIL MUSCAL PELUCHE HAPPY SHAKING D 068
7370889;CIG0889;PA•ALERA BEBESITOS MC 4017
7370890;CIG0890;COMEDOR INFANTIL PRAKTIPLAS
7370891;CIG0891;COMEDOR SPACEBABY 618
7370892;CIG0892;MANTILLAS X 4 INFAN TEC IMP 6644
7370893;CIG0893;MEDIA ZAPATO BABY CARTER JMA 1908 - 21
7370894;CIG0894;MEDIA ZAPATO BABY CARTER JMA 1908 - 22
7370895;CIG0895;BACINILLA MULTIUSOS PRAKTIPLAS
7370896;CIG0896;BACINILLA MUSICAL 8910
7370897;CIG0897;BACINILLA LX 108
7370898;CIG0898;TETERO AVENT X 2 AZUL 4 ONZ 692 - 27
7370899;CIG0899;TETERO AVENT X 2 BLANCO 9 ONZ 693 - 27
7370900;CIG0900;COLCHONETA ABBA 70 X 110 REF 1026
7370901;CIG0901;MANTILLA CAJA 
7370902;CIG0902;VASO BOOGY 20507
7370903;CIG0903;COMEDOR BOOGY 20889
7370904;CIG0904;PASEADOR GOODBABY 
7370905;CIG0905;TETERO SKIPPY
7470002;CLA0002;CARTUCHERA 2 CIERRES DOKI
7470003;CLA0003;LONCHERA FUTBOL MULTIPLE
7470004;CLA0004;LONCHERA FUTBOL FANATICO RM
7470005;CLA0005;MORRAL FUTBOL MANCHESTER UTD
7470006;CLA0006;LONCHERA MULTIUSOS HELLO KITTY
7470007;CLA0007;LONCHERA ORANGE T-REX
7470008;CLA0008;MALETIN RUEDAS TROLLEY GRANGE T-REX
7470009;CLA0009;MORRAL JUVENIL MANCHESTER UTD
7470010;CLA0010;CARTUCHERA JUVENIL HELLO KITTY
7470011;CLA0011;LONCHERA EXPANDIBLE HELLO KITTY
7470012;CLA0012;CARTUCHERA 1 CIERRE DOKI
7470013;CLA0013;BOLSO PLAYERO KEROPPI
7470014;CLA0014;PA•ALERA DE LUJO HELLO KITTY
7470015;CLA0015;MORRAL FUTBOL LAPTOP
7470016;CLA0016;SET TENEDOR Y CUCHARA HELLO KITTY
7470017;CLA0017;BOWL MELAMINA ANGRY BIRDS
7470018;CLA0018;CONTENEDOR DE LECHE HELLO KITTY
7470019;CLA0019;VASO 550 ML ANGRY BIRDS
7470020;CLA0020;TERMO SPORT PITILLO CON IMPRESION SIN ET
7470021;CLA0021;VASO BOQUILLA DURA SIN IMPRESION
7470022;CLA0022;VASO BOQUILLA DURA POOH
7470023;CLA0023;TERMO 400 ML ANGRY BIRDS
7470024;CLA0024;CONTENEDOR DE LECHE SIN IMPRESION
7470025;CLA0025;BIBERONES 4 OZ SIN IMPRESION
7470026;CLA0026;BOTELLA DE ALUMINO 400 ML ANGRY BIRDS
7470027;CLA0027;GORRO DE BA•O POOH
7470028;CLA0028;CINTURON INFANTIL
7470029;CLA0029;MORRAL EDICION LIMITADA
7470030;CLA0030;MALETIN RUEDAS TROLLEY DOKI PIRATA
7470031;CLA0031;MORRAL LAPTOP HELLO KITTY
7470032;CLA0032;MORRAL FUTBOL MULTIPLE
7470033;CLA0033;GORRO DE BA•O MINNIE MOUSE
7470034;CLA0034;GORRO DE BA•O PRINCESS
7470035;CLA0035;GORRO DE BA•O CAMPANITA
7470036;CLA0036;CARTUCHERA DOBLE SELECCION COLOMBIA
7470037;CLA0037;LONCHERA FUTBOL PLAYERS
7470038;CLA0038;LONCHERA TERMICA CHOCOCAT
7470039;CLA0039;LONCHERA DOKI PIRATA
7470040;CLA0040;KIT KINDER MARIE LENTEJUELAS
7470041;CLA0041;CARTERO JUVENIL HELLO KITTY
7470042;CLA0042;LONCHERA FUTBOL CAMISETA
7470043;CLA0043;MORRAL RUEDAS BARCELONA
7470044;CLA0044;MALETIN RUEDAS TROLLEY MARIE DULCES
7470045;CLA0045;MALETIN RUEDAS TROLLEY HELLO KITTY
7470046;CLA0046;DELANTAL DECORADO
7470047;CLA0047;DELANTAL DECORADO
7470048;CLA0048;DELANTAL DOKI
7470049;CLA0049;DELANTAL CAMPANITA
7470050;CLA0050;DELANTAL MICKEY MOUSE
7470051;CLA0051;DELANTAL PRINCESS
7470052;CLA0052;BABERO MEDIANO HELLO KITTY
7470053;CLA0053;DELANTAL DECORADO
7470054;CLA0054;DELANTAL BARBIE
7470055;CLA0055;DELANTAL DECORADO
7470056;CLA0056;BABERO PEQUE•O HELLO KITTY
7470057;CLA0057;MORRAL FUTBOL LAPTOP
7470058;CLA0058;MORRAL ANIMAL PLANET COLIBRI
7470059;CLA0059;DELANTAL HELLO KITTY
7470060;CLA0060;MORRAL JUVENIL HELLO KITTY
7470061;CLA0061;CONTENEDOR DE LECHE SIN IMPRESION
7470062;CLA0062;VASO ENTRENAMIENTO SIN IMPRESION
7,70332E+12;CPF101;VOLQUETA NEON                           
7,70332E+12;CPF101PR;VOLQUETA PALA Y RASTRILLO               
7,70332E+12;CPF101R;VOLQUETA R                              
7,70332E+12;CPF102;ESTACA NEON                             
7,70332E+12;CPF102B;ESTACA BLOQUES
7,70332E+12;CPF102C;ESTACA CUATRIMOTO                       
7,70332E+12;CPF102F;ESTACA FORMULA                          
7,70332E+12;CPF102J;ESTACA JEEP                             
7,70332E+12;CPF102P;ESTACA PELOTA                           
7,70332E+12;CPF102R;ESTACA R                                
776104;CPF104;TRACTOMULA                              
7,70332E+12;CPF104B;TRACTOMULA BOLSA                        
776104C;CPF104C;TRACTOMULA CUATRIMOTO                   
7,70332E+12;CPF104JF;TRACTOMULA FENIX                        
776104JJ;CPF104JJ;TRACTOMULA JEEP JEEP                    
7,70332E+12;CPF106;GANADERITO BOLSA                        
7,70332E+12;CPF107;TRACTOMULA MADERERA                     
7,70332E+12;CPF110;VOLQUETA DE LUJO                        
7,70818E+12;CPF122;CBT FACTORY SOBRE RUEDAS
7,70332E+12;CPF130;VOLKSWAGEN                              
7,70332E+12;CPF135;VOLKSWAGEN SPORT                        
7,70332E+12;CPF135B;VOLKSWAGUEN SPORT EN BOLSA              
7,70332E+12;CPF140;VOLKSWAGUEN X 3                         
7,70332E+12;CPF145;RACING X 3 1 PCE
7,70332E+12;CPF1500-1;TRICICLO VOLCO NI•O                     
7,70332E+12;CPF1500-2;TRICICLO VOLCO NI•A                     
7761500PROMO;CPF1500PROMO;TRICICLO VOLCO NUEVO PROMOCION          
7,70332E+12;CPF150-1;MIS PEQUE•OS GIGANTES NI•O X 8          
7,70332E+12;CPF150-2;MIS PEQUE•OS GIGANTES NI•A X 8          
7,70332E+12;CPF1505-1;TRICICLO BALANCIN NI•O                  
7,70332E+12;CPF1505-2;TRICICLO BALANCIN NI•A                  
7,70332E+12;CPF150X2-1;MIS PEQUE•OS GIGANTES X 2 NI•O          
7,70332E+12;CPF150X2-2;MIS PEQUE•OS GIGANTES X 2 NI•A          
7,70332E+12;CPF1510-1;CORREPASILLO NI•O                       
7,70332E+12;CPF1510-2;CORREPASILLO NI•A                       
7,70332E+12;CPF151-1;MIS PEQUE•OS GIGANTES X 1 NI•O          
7,70332E+12;CPF151-2;MIS PEQUE•OS GIGANTES X 1 NI•A          
7,70332E+12;CPF1520-1;TRICICLO MONSTER NI•O                   
7761S;CPF1520-1S;TRICICLO MONSTER NI•O S
7,70332E+12;CPF1520-2;TRICICLO MONSTER NI•A                   
7,70332E+12;CPF1520R;TRICICLO MONSTER RECICLADO              
7,70332E+12;CPF1520R-S;TRICICLO MONSTER R 1 PCE
7,70332E+12;CPF1525-1;TRICICLO MONSTER PREMIUM NI•O
7,70332E+12;CPF1525-2;TRICICLO MONSTER PREMIUM NI•A
7761;CPF1527-1;TRICICLO MONSTER GTI NI•O EN BOLSA      
7762;CPF1527-2;TRICICLO MONSTER GTI NI•A EN BOLSA      
7,70332E+12;CPF1530-1;TRICICLO SOPLADO NI•O                   
7,70332E+12;CPF1530-2;TRICICLO SOPLADO NI•A                   
7,70332E+12;CPF1530R;TRICICLO SOPLADO RECICLADO              
7761530RP;CPF1530RP;TRICICLO SOPLADO R PROMOCION            
7,70332E+12;CPF1530R-S;TRICICLO SOPLADO PEDAL R 1 PCE
7,70332E+12;CPF1540-1;TRICICLO DESTROYER NI•O                 
7,70332E+12;CPF1540-2;TRICICLO DESTROYER NI•A                 
7,70332E+12;CPF1550-1;TRICICLO METALICO NI•O                  
7,70332E+12;CPF1550-2;TRICICLO METALICO NI•A                  
7,70332E+12;CPF155-1;MIS PEQUE•OS GIGANTES X 4 NI•O          
7,70332E+12;CPF1551-1;TRICICLO METALICO CON GUIA NI•O
7,70332E+12;CPF1551-2;TRICICLO METALICO CON GUIA NI•A
7,70332E+12;CPF155-2;MIS PEQUE•OS GIGANTES X 4 NI•A          
7,70332E+12;CPF1555-1;TRICICLO DOBLE NI•O                     
7,70332E+12;CPF1555-2;TRICICLO DOBLE NI•A                     
7,70332E+12;CPF205;JEEP SAHARA                             
7,70332E+12;CPF205B;JEEP SAHARA BOLSA                       
7,70332E+12;CPF210;GALAXIA                                 
7,70332E+12;CPF215;MIX TOYS                                
7,70332E+12;CPF221;FORMULITA FENIX                         
7,70332E+12;CPF2550;BA•ERA CON BEBE                         
7,70332E+12;CPF300;SUPER VOLQUETA                          
7,70332E+12;CPF300B;SUPER VOLQUETA BALDE                    
7,70332E+12;CPF300N;SUPER VOLQUETA COLORES                  
7,70332E+12;CPF300NB;SUPER VOLQUETA LIMITED BALDE            
7,70332E+12;CPF300NP;SUPER VOLQUETA LIMITED PELOTA           
7,70332E+12;CPF300P;SUPER VOLQUETA PELOTA                   
7,70332E+12;CPF3020-1;ARMATODO NI•O X 48                      
7,70332E+12;CPF3020-2;ARMATODO NI•A X 48                      
7,70332E+12;CPF3022-1;ARMATODO NI•O X 72                      
7,70332E+12;CPF3022-2;ARMATODO NI•A X 72                      
7,70332E+12;CPF3024-1;ARMATODO NI•O X 144                     
7,70332E+12;CPF3024-2;ARMATODO NI•A X 144                     
7,70332E+12;CPF3026-1;BOLA DIDACTICA NI•O
7,70332E+12;CPF3026-2;BOLA DIDACTICA NI•A
7,70332E+12;CPF3028-1;DINOSAURIO AROS NI•O 1 PCE
7,70332E+12;CPF3028-2;DINOSAURIO AROS NI•O 1 PCE
7,70332E+12;CPF3030-1;ELEFANTE AROS NI•O 1 PCE
7,70332E+12;CPF3030-2;ELEFANTE AROS NI•A 1 PCE
7,70332E+12;CPF3500;4 EN LINEA                              
7,70332E+12;CPF3505-1;BOLOS SOBRE RUEDAS X 8 UND
7762;CPF3505-2;BOLOS SOBRE RUEDAS X 8 UND NI•A
7761;CPF3510-1;JUEGO DE BOLOS NI•O                   
7,70332E+12;CPF3510-2;JUEGO DE BOLOS NI•A                     
7,70332E+12;CPF3515-1;BOLOS DINO NI•O                         
7,70332E+12;CPF3515-2;BOLOS DINO NI•A                         
7,70332E+12;CPF3520-1;JUEGO DE GOLF NI•O                      
7,70332E+12;CPF3520-2;JUEGO DE GOLF NI•A                      
7,70332E+12;CPF3525-1;MI EQUIPO DE GOLF NI•O
7,70332E+12;CPF3525-2;MI EQUIPO DE GOLF NI•A
7,70332E+12;CPF3530;SAPO                                    
7,70332E+12;CPF3535;SAPITO AHORRADOR                        
7,70332E+12;CPF3540-1;BATE TOYS
7,70332E+12;CPF3540-2;BATE TOYS NI•A
7,70332E+12;CPF3545;SET MEDIEVAL 2 PCE
7,70332E+12;CPF3550;LOTERIA APRENDE INGLES
7,70332E+12;CPF3560;DONDE HABITAN LOS ANIMALES              
7,70332E+12;CPF3570;LOTERIA ARITMETICA                      
7,70332E+12;CPF3580;LOTERIA PROFESIONES                     
7,70332E+12;CPF3590;LOTERIA ABECEDARIO                      
7,70332E+12;CPF3600;LOTERIA CIUDADES                        
7,70332E+12;CPF3610;QUE COLOR                               
7,70332E+12;CPF3620;CONTANDO Y JUGANDO                      
7,70332E+12;CPF3630;LAS VOCALES                             
7,70332E+12;CPF3640;DOMINO INFANTIL                         
7,70332E+12;CPF3650;SUMANDO Y RESTANDO                      
7,70332E+12;CPF3680;PINTEMOS JUNTOS
7,70332E+12;CPF3800;SOLDADOS X 50                           
7,70332E+12;CPF3810;PIRATAS X 50                            
7,70332E+12;CPF3820;ASTRONAUTAS X 50                        
7,70332E+12;CPF3900;MONOPATIN                               
7,70332E+12;CPF3940-1;THREE WEELLER SPORT NI•O
7,70332E+12;CPF3940-2;THREE WEELLER SPORT NI•A
7,70332E+12;CPF3950-1;SCOOTER BOY TOYS NI•O                   
7,70332E+12;CPF3950-2;SCOOTER BOY TOYS NI•A                   
7,70332E+12;CPF3990-1;PESA BOY TOYS FIT NI•O                  
7,70332E+12;CPF3990-2;PESA BOY TOYS FIT NI•A                  
7,70332E+12;CPF400;AVION JUMBO                             
7,70332E+12;CPF4000-1;MESA-BALANCIN NI•O                      
7,70332E+12;CPF4000-2;MESA-BALANCIN NI•A                      
7,70332E+12;CPF4020-1;ESCRITORIO - PUPITRE NI•O               
7,70332E+12;CPF4020-1S;ESCRITORIO PUPITRE NI•O 1 PCE
7,70332E+12;CPF4020-2;ESCRITORIO - PUPITRE NI•A               
7,70332E+12;CPF4020-2S;ESCRITORIO PUPITRE NI•A 1 PCE
7,70332E+12;CPF4030-1;BUTACO 3 EN 1 NI•O
7,70332E+12;CPF4030-2;BUTACO 3 EN 1 NI•A
7,70332E+12;CPF4050-1;MESA INFANTIL NI•O CON BUTACO           
7,70332E+12;CPF4050-2;MESA INFANTIL NI•A CON BUTACO           
7764050PRO;CPF4050PRO;MESA INFANTIL PROMOCION
7,70332E+12;CPF4055-1;MESA INFANTIL SIN BUTACOS NI•O
7,70332E+12;CPF4055-2;MESA INFANTIL SIN BUTACOS NI•A
